variable,country,essround,non_neutrality,avg_deviation_from_neutrality,dispersion,moderate_divergence,moderate_group_consensus,moderate_size_parity
imbgeco,Poland,2008,0.7472473512237606,0.10063731156664844,0.34792527591598976,0.42901610984954497,0.6806740528894001,0.17445789745413623
imbgeco,Poland,2010,0.7431496210558419,0.061556310987429974,0.35047718049312215,0.4182543996438611,0.679629728458604,0.19020132299454914
imbgeco,Poland,2012,0.7637787256979083,0.09351389448205012,0.395644236867148,0.44183098388399283,0.6580514072136342,0.24372755926710232
imbgeco,Poland,2014,0.7266264158135176,0.01134359432236849,0.36638406243773813,0.4459133322473565,0.6750543787768131,0.3546916751923971
imbgeco,Poland,2016,0.7861218842881281,0.004520575396195526,0.39764269270899,0.4452640468340208,0.6222504221413863,0.36846720749094947
imbgeco,Poland,2018,0.7537197685521335,0.12188852780304665,0.3695930571337886,0.4238721681524643,0.6747260279502225,0.13907776867645533
imbgeco,Poland,2020,0.7559786315513098,0.20191777570014066,0.428338752963368,0.43486520177602267,0.6824156378487369,0.19102794911256427
imbgeco,Poland,2022,0.7919599878972348,0.0866719158181752,0.3948236243976987,0.4462440857023504,0.6641211185900613,0.2639389486817339
imbgeco,Portugal,2002,0.7684638081471178,0.10991914282138869,0.3669646625755865,0.42818694771067406,0.6668460590238758,0.23633420547409997
imbgeco,Portugal,2008,0.7614514540919135,0.05967351616403889,0.3445178893074632,0.43776177032167535,0.6941251319086925,0.18240903723329793
imbgeco,Portugal,2010,0.7344829904027158,0.11512611941939355,0.31318532805629973,0.39828319577207494,0.7236207055510312,0.1287913307564601
imbgeco,Portugal,2012,0.7735190858690341,0.18843023667934666,0.352858079495494,0.42382500237501886,0.6678347596355264,0.08450961823522626
imbgeco,Portugal,2014,0.7060371113038624,0.06211412137868884,0.38645698289268254,0.40543482270337433,0.6790907549827088,0.1752183790644096
imbgeco,Portugal,2016,0.7145805494654311,0.06954659321589833,0.3394266777248389,0.4095190407335185,0.6950332331784717,0.11561853546610198
imbgeco,Portugal,2018,0.7769561973312727,0.1762527795206113,0.3442410627545918,0.43644538420056833,0.7057061420028953,0.09598512874812463
imbgeco,Portugal,2020,0.7618839549633322,0.19590573824331425,0.33226801706324,0.43962522007890126,0.6865173794677533,0.10097392473135788
imbgeco,Portugal,2022,0.7871061365252705,0.16606023911579532,0.3487304477569819,0.44033256514681585,0.7077092534171763,0.125388011511643
imbgeco,Sweden,2002,0.7434627255859674,0.029288113521153392,0.3223233188603887,0.4103666120747902,0.7316198093248242,0.11342955341758512
imbgeco,Sweden,2008,0.7265150802251423,0.02474168525974445,0.31005998238465554,0.4148122749938608,0.7187874005487409,0.18577167488641227
imbgeco,Sweden,2010,0.7687338257194513,0.1104548730482021,0.3198486740697455,0.4173173132436212,0.7320085103513048,0.06646819135869302
imbgeco,Sweden,2012,0.7733817297231693,0.04152025434918088,0.3388146680068997,0.40542251596700685,0.7262070586643274,0.1531556905079829
imbgeco,Sweden,2014,0.774570883442592,0.07407253486515124,0.3445274410481344,0.4219967053270085,0.7224500809813372,0.13360282174455124
imbgeco,Sweden,2016,0.8004284931046727,0.07273796834856157,0.3606719018150053,0.4222756374343975,0.701079287772117,0.19897552374749022
imbgeco,Sweden,2018,0.8120992050205276,0.09129988290452183,0.3602816000919236,0.43050852306818116,0.6970133771224467,0.20693551243035996
imbgeco,Sweden,2020,0.7750267044827441,0.05915473808917451,0.41575867339363826,0.4539094643961427,0.675164554128604,0.3861325579988782
imbgeco,Sweden,2022,0.7881436266261528,0.11441611456699548,0.33423837053510685,0.4123622643699781,0.7115072669443184,0.08865946799859485
imbgeco,Slovenia,2002,0.6654008774355717,0.3701787050435026,0.3073558590044576,0.41563000153315033,0.6791366946898344,0.10434352718000686
imbgeco,Slovenia,2008,0.7714315289584999,0.3405973073801228,0.33504946941173763,0.4358240079074877,0.6758519845324816,0.10461040162186379
imbgeco,Slovenia,2010,0.7615972824342407,0.3833732165993848,0.31330205728140587,0.4321953993029798,0.6919756871773663,0.09487744697467386
imbgeco,Slovenia,2012,0.7341884939219168,0.3286356439337128,0.3393738584262583,0.44751471751265337,0.6883074126549641,0.31621987703757504
imbgeco,Slovenia,2014,0.7427722113426739,0.38313743756531693,0.3339251636810484,0.4421902738110431,0.6878242975824023,0.16160305726830554
imbgeco,Slovenia,2016,0.799810812020478,0.3833448012182575,0.3403922601738227,0.4409976960719322,0.6707274364969149,0.17147000744388474
imbgeco,Slovenia,2018,0.7972997938920897,0.3268202445020032,0.3582728292252052,0.4508345255074144,0.647156714981238,0.3105904992533519
imbgeco,Slovenia,2020,0.7501189742665558,0.26763424642230554,0.3449419955234733,0.43130729574934873,0.6615571230724238,0.2620540674975843
imbgeco,Slovenia,2022,0.7908542918320131,0.17588338532375705,0.363159525696702,0.43256764457808183,0.7045715574737839,0.19710733012783677
imbgeco,Bulgaria,2002,NA,NA,NA,NA,NA,NA
imbgeco,Bulgaria,2008,0.7873182906896848,0.0456659501770984,0.423494879411785,0.46793182128846295,0.5479929014557576,0.46541416936747015
imbgeco,Bulgaria,2010,0.7696024214265802,0.016056148549159665,0.39758910196943154,0.46089758771569445,0.5802495893232216,0.3190245153701758
imbgeco,Bulgaria,2012,0.7863922823715628,0.08629569415231463,0.42278190313881514,0.4356010636308669,0.5857308198957354,0.38937465011686
imbgeco,Bulgaria,2014,NA,NA,NA,NA,NA,NA
imbgeco,Bulgaria,2016,NA,NA,NA,NA,NA,NA
imbgeco,Bulgaria,2018,0.7676019704476812,0.2474943286528995,0.3878913117064793,0.45224525684174977,0.5970712529428108,0.3326981503641025
imbgeco,Bulgaria,2020,0.7880211722665795,0.11739351653692652,0.4239065236637163,0.4383005040703285,0.6882257963875971,0.35096157566975716
imbgeco,Bulgaria,2022,NA,NA,NA,NA,NA,NA
imbgeco,Cyprus,2002,NA,NA,NA,NA,NA,NA
imbgeco,Cyprus,2008,0.8468301878318025,0.5271434454340845,0.2838082504092109,0.4379818077801814,0.681609227408001,0.16904500424239255
